,k,ROUGE-1 F1,summary path
68,0,0.3829181494661921,finished_summaries/shmoop/Little Women/overview.txt
69,0,0.5810593900481541,finished_summaries/sparknotes/Little Women/overview.txt
70,0,0.49670855774985034,finished_summaries/shmoop/The House of Mirth/overview.txt
71,0,0.4773333333333334,finished_summaries/cliffnotes/The House of Mirth/overview.txt
72,0,0.42092746730083236,finished_summaries/sparknotes/The House of Mirth/overview.txt
73,0,0.3754789272030651,finished_summaries/gradesaver/The House of the Seven Gables/overview.json
74,0,0.3318233295583239,finished_summaries/shmoop/The House of the Seven Gables/overview.txt
75,0,0.4409695074276779,finished_summaries/cliffnotes/The House of the Seven Gables/overview.txt
76,0,0.49850567842199645,finished_summaries/sparknotes/The House of the Seven Gables/overview.txt
77,0,0.30913642052565704,finished_summaries/gradesaver/A Study in Scarlet/overview.json
78,0,0.46726572528883187,finished_summaries/shmoop/The Life of Timon of Athens/overview.txt
79,0,0.13902271163110805,finished_summaries/gradesaver/Hamlet/overview.json
80,0,0.5021872265966755,finished_summaries/shmoop/Hamlet/overview.txt
81,0,0.5092250922509226,finished_summaries/sparknotes/Hamlet/overview.txt
82,0,0.1922731356693621,finished_summaries/gradesaver/Othello/overview.json
83,0,0.32013969732246794,finished_summaries/shmoop/Othello/overview.txt
84,0,0.27576470588235297,finished_summaries/sparknotes/Othello/overview.txt
85,0,0.33098039215686276,finished_summaries/gradesaver/A Room With a View/overview.json
86,0,0.41444270015698587,finished_summaries/shmoop/A Room with a View/overview.txt
87,0,0.19884009942004974,finished_summaries/sparknotes/A Room with a View/overview.txt
88,0,0.14429109159347556,finished_summaries/gradesaver/Mary Barton/overview.json
89,0,0.07542262678803642,finished_summaries/gradesaver/Coriolanus/overview.json
90,0,0.5363716038562665,finished_summaries/shmoop/Coriolanus/overview.txt
91,0,0.37,finished_summaries/sparknotes/Coriolanus/overview.txt
92,0,0.45019607843137255,finished_summaries/shmoop/Around the World in Eighty Days/overview.txt
93,0,0.14050632911392405,finished_summaries/gradesaver/Candide/overview.json
94,0,0.5071609098567817,finished_summaries/shmoop/Candide/overview.txt
95,0,0.2460910944935418,finished_summaries/cliffnotes/Candide/overview.txt
96,0,0.5263819095477387,finished_summaries/sparknotes/Candide/overview.txt
97,0,0.17638526254714243,finished_summaries/gradesaver/The Garden Party/overview.json
98,0,0.20418204182041821,finished_summaries/gradesaver/Around the World in 80 Days/overview.json
99,0,0.11424439624005783,finished_summaries/gradesaver/Sister Carrie/overview.json
100,0,0.586582048957389,finished_summaries/shmoop/Sister Carrie/overview.txt
101,0,0.4883023395320935,finished_summaries/cliffnotes/Sister Carrie/overview.txt
102,0,0.2557544757033248,finished_summaries/sparknotes/Sister Carrie/overview.txt
103,0,0.22615384615384615,finished_summaries/gradesaver/Persuasion/overview.json
104,0,0.5362035225048924,finished_summaries/shmoop/Persuasion/overview.txt
105,0,0.5119363395225465,finished_summaries/sparknotes/Persuasion/overview.txt
106,0,0.24726134585289516,finished_summaries/sparknotes/Looking Backward/overview.txt
107,0,0.5068181818181817,finished_summaries/gradesaver/Wuthering Heights/overview.json
108,0,0.46595385481148005,finished_summaries/shmoop/Wuthering Heights/overview.txt
109,0,0.4889282550930027,finished_summaries/cliffnotes/Wuthering Heights/overview.txt
110,0,0.4951541850220265,finished_summaries/sparknotes/Wuthering Heights/overview.txt
111,0,0.313588850174216,finished_summaries/gradesaver/What Maisie Knew/overview.json
112,0,0.4624624624624624,finished_summaries/shmoop/What Maisie Knew/overview.txt
113,0,0.08671484157865479,finished_summaries/gradesaver/The Vicar of Wakefield/overview.json
114,0,0.32,finished_summaries/gradesaver/Utilitarianism/overview.json
115,0,0.2797202797202797,finished_summaries/shmoop/Where Angels Fear to Tread/overview.txt
116,0,0.29622458857696027,finished_summaries/gradesaver/Oliver Twist/overview.json
117,0,0.5538588526619893,finished_summaries/shmoop/Oliver Twist/overview.txt
118,0,0.3815201192250373,finished_summaries/cliffnotes/Oliver Twist/overview.txt
119,0,0.4668852459016394,finished_summaries/sparknotes/Oliver Twist/overview.txt
120,0,0.30113636363636365,finished_summaries/gradesaver/David Copperfield/overview.json
121,0,0.4789838337182448,finished_summaries/shmoop/David Copperfield/overview.txt
122,0,0.4599156118143459,finished_summaries/cliffnotes/David Copperfield/overview.txt
123,0,0.5638009049773757,finished_summaries/sparknotes/David Copperfield/overview.txt
124,0,0.08319467554076539,finished_summaries/gradesaver/Heart of Darkness/overview.json
125,0,0.11644832605531294,finished_summaries/shmoop/Heart of Darkness/overview.txt
126,0,0.19099099099099098,finished_summaries/cliffnotes/Heart of Darkness/overview.txt
127,0,0.1625835189309577,finished_summaries/sparknotes/Heart of Darkness/overview.txt
128,0,0.40552118039029034,finished_summaries/gradesaver/Dracula/overview.json
129,0,0.4979457682826623,finished_summaries/shmoop/Dracula/overview.txt
130,0,0.3114860480207658,finished_summaries/cliffnotes/Dracula/overview.txt
131,0,0.5363204344874406,finished_summaries/sparknotes/Dracula/overview.txt
132,0,0.11451398135818908,finished_summaries/gradesaver/A Hero of Our Time/overview.json
133,0,0.23703703703703705,finished_summaries/cliffnotes/Green Mansions/overview.txt
134,0,0.33618233618233617,finished_summaries/gradesaver/The Phantom of the Opera/overview.json
135,0,0.20763723150358,finished_summaries/gradesaver/Leviathan/overview.json
136,0,0.20743034055727555,finished_summaries/shmoop/Leviathan/overview.txt
137,0,0.5499181669394435,finished_summaries/shmoop/The Goose Girl/overview.txt
138,0,0.5218598195697433,finished_summaries/shmoop/Main Street/overview.txt
139,0,0.3359442993907745,finished_summaries/cliffnotes/Main Street/overview.txt
140,0,0.21028037383177567,finished_summaries/sparknotes/Main Street/overview.txt
141,0,0.0,finished_summaries/gradesaver/The Canterville Ghost/overview.json
142,0,0.6489300173510699,finished_summaries/gradesaver/Middlemarch/overview.json
143,0,0.3127606338615513,finished_summaries/shmoop/Middlemarch/overview.txt
144,0,0.2489451476793249,finished_summaries/sparknotes/Middlemarch/overview.txt
145,0,0.4317111459968603,finished_summaries/gradesaver/Villette/overview.json
146,0,0.4715969989281886,finished_summaries/shmoop/From the Earth to the Moon/overview.txt
147,0,0.19155844155844154,finished_summaries/shmoop/The Power and the Glory/overview.txt
148,0,0.1444043321299639,finished_summaries/sparknotes/The Power and the Glory/overview.txt
149,0,0.4855967078189301,finished_summaries/shmoop/Notes from the Underground/overview.txt
150,0,0.15844155844155844,finished_summaries/gradesaver/On Liberty/overview.json
151,0,0.5374592833876222,finished_summaries/gradesaver/The Marrow of Tradition/overview.json
152,0,0.36304170073589537,finished_summaries/shmoop/The Return of the Native/overview.txt
153,0,0.4790307548928238,finished_summaries/cliffnotes/The Return of the Native/overview.txt
154,0,0.43028846153846156,finished_summaries/sparknotes/The Return of the Native/overview.txt
155,0,0.23776223776223773,finished_summaries/gradesaver/The Scarlet Letter/overview.json
156,0,0.46653144016227177,finished_summaries/shmoop/The Scarlet Letter/overview.txt
157,0,0.539016393442623,finished_summaries/cliffnotes/The Scarlet Letter/overview.txt
158,0,0.5484089370345295,finished_summaries/sparknotes/The Scarlet Letter/overview.txt
159,0,0.6077245230339693,finished_summaries/gradesaver/My Antonia/overview.json
160,0,0.3711656441717791,finished_summaries/gradesaver/Babbitt/overview.json
161,0,0.45311203319502075,finished_summaries/shmoop/Babbitt/overview.txt
162,0,0.2908324552160169,finished_summaries/sparknotes/Babbitt/overview.txt
163,0,0.20415537488708219,finished_summaries/gradesaver/The Wind in the Willows/overview.json
164,0,0.5297504798464492,finished_summaries/shmoop/Madame Bovary/overview.txt
165,0,0.4152744630071599,finished_summaries/cliffnotes/Madame Bovary/overview.txt
166,0,0.5186567164179104,finished_summaries/gradesaver/A Tale of Two Cities/overview.json
167,0,0.4770902220122816,finished_summaries/shmoop/A Tale of Two Cities/overview.txt
168,0,0.45818610129564197,finished_summaries/cliffnotes/A Tale of Two Cities/overview.txt
169,0,0.5933957614588466,finished_summaries/sparknotes/A Tale of Two Cities/overview.txt
170,0,0.21522610188895247,finished_summaries/gradesaver/Howards End/overview.json
171,0,0.4782608695652174,finished_summaries/shmoop/Howards End/overview.txt
172,0,0.3794683776351971,finished_summaries/sparknotes/Howards End/overview.txt
173,0,0.45233812949640284,finished_summaries/gradesaver/The Turn of the Screw/overview.json
174,0,0.5441176470588236,finished_summaries/shmoop/The Turn of the Screw/overview.txt
175,0,0.39177750906892383,finished_summaries/cliffnotes/The Turn of the Screw/overview.txt
176,0,0.5012787723785166,finished_summaries/sparknotes/The Turn of the Screw/overview.txt
177,0,0.5344295991778006,finished_summaries/gradesaver/The Secret Agent/overview.json
178,0,0.36781609195402293,finished_summaries/shmoop/The Secret Agent/overview.txt
179,0,0.3354192740926158,finished_summaries/gradesaver/Jane Eyre/overview.json
180,0,0.3423057389537837,finished_summaries/shmoop/Jane Eyre/overview.txt
181,0,0.4586206896551724,finished_summaries/cliffnotes/Jane Eyre/overview.txt
182,0,0.5942028985507247,finished_summaries/sparknotes/Jane Eyre/overview.txt
183,0,0.4860035735556879,finished_summaries/cliffnotes/The Pickwick Papers/overview.txt
184,0,0.312256049960968,finished_summaries/shmoop/Ivanhoe/overview.txt
185,0,0.47959183673469385,finished_summaries/cliffnotes/Ivanhoe/overview.txt
186,0,0.38152610441767065,finished_summaries/sparknotes/Ivanhoe/overview.txt
187,0,0.27988338192419826,finished_summaries/gradesaver/Mansfield Park/overview.json
188,0,0.40960809102402024,finished_summaries/shmoop/Mansfield Park/overview.txt
189,0,0.39707227813357726,finished_summaries/sparknotes/Mansfield Park/overview.txt
190,0,0.5314401622718053,finished_summaries/shmoop/Typee/overview.txt
191,0,0.5219000616903147,finished_summaries/sparknotes/Typee/overview.txt
192,0,0.3476190476190476,finished_summaries/gradesaver/Anne of Green Gables/overview.json
193,0,0.5376062786134729,finished_summaries/shmoop/Anne of Green Gables/overview.txt
194,0,0.49092047589229804,finished_summaries/sparknotes/Anne of Green Gables/overview.txt
195,0,0.309004263857537,finished_summaries/gradesaver/Kidnapped/overview.json
196,0,0.5100162425554954,finished_summaries/shmoop/Kidnapped/overview.txt
197,0,0.39579831932773113,finished_summaries/sparknotes/Kidnapped/overview.txt
198,0,0.23828920570264767,finished_summaries/gradesaver/A Little Princess/overview.json
199,0,0.4700780572419775,finished_summaries/shmoop/A Little Princess/overview.txt
200,0,0.37543684473290073,finished_summaries/gradesaver/Regeneration/overview.json
