,ROUGE-1 F1,chapter-title,source
104,0.4511278195488721,Sense and Sensibility.chapter 3,shmoop
105,0.472168905950096,Sense and Sensibility.chapter 4,shmoop
106,0.3944636678200692,Sense and Sensibility.chapter 5,shmoop
107,0.4332493702770781,Sense and Sensibility.chapter 6,shmoop
108,0.5241379310344828,Sense and Sensibility.chapter 7,shmoop
109,0.31968810916179335,Sense and Sensibility.chapter 8,shmoop
110,0.4542372881355932,Sense and Sensibility.chapter 9,shmoop
111,0.3852855759922556,Sense and Sensibility.chapter 10,shmoop
112,0.27044025157232704,Sense and Sensibility.chapter 11,shmoop
113,0.4661016949152542,Sense and Sensibility.chapter 12,shmoop
114,0.47236180904522607,Sense and Sensibility.chapter 13,shmoop
115,0.40097799511002447,Sense and Sensibility.chapter 14,shmoop
116,0.48534583821805394,Sense and Sensibility.chapter 15,shmoop
117,0.3734439834024896,Sense and Sensibility.chapter 16,shmoop
118,0.33502538071065996,Sense and Sensibility.chapter 17,shmoop
119,0.3146522619851452,Sense and Sensibility.chapter 18,shmoop
120,0.3357438016528926,Sense and Sensibility.chapter 19,shmoop
121,0.31328671328671326,Sense and Sensibility.chapter 20,shmoop
122,0.3163265306122449,Sense and Sensibility.chapter 21,shmoop
123,0.3121460037759597,Sense and Sensibility.chapter 22,shmoop
124,0.43309859154929575,Sense and Sensibility.chapter 23,shmoop
125,0.3561973525872443,Sense and Sensibility.chapter 24,shmoop
126,0.3004694835680751,Sense and Sensibility.chapter 25,shmoop
127,0.2876901798063624,Sense and Sensibility.chapter 26,shmoop
128,0.2742857142857143,Sense and Sensibility.chapter 27,shmoop
129,0.33265720081135897,Sense and Sensibility.chapter 28,shmoop
130,0.3256140350877193,Sense and Sensibility.chapter 29,shmoop
131,0.3701657458563536,Sense and Sensibility.chapter 30,shmoop
132,0.38992248062015505,Sense and Sensibility.chapter 31,shmoop
133,0.30413223140495865,Sense and Sensibility.chapter 32,shmoop
134,0.41360544217687073,Sense and Sensibility.chapter 33,shmoop
135,0.3123833229620411,Sense and Sensibility.chapter 34,shmoop
136,0.3408360128617363,Sense and Sensibility.chapter 35,shmoop
137,0.32301480484522205,Sense and Sensibility.chapter 36,shmoop
138,0.2545454545454546,Sense and Sensibility.chapter 37,shmoop
139,0.3381642512077294,Sense and Sensibility.chapter 38,shmoop
140,0.40281030444964866,Sense and Sensibility.chapter 39,shmoop
141,0.432258064516129,Sense and Sensibility.chapter 40,shmoop
142,0.327613104524181,Sense and Sensibility.chapter 41,shmoop
143,0.3617463617463617,Sense and Sensibility.chapter 42,shmoop
144,0.397923875432526,Sense and Sensibility.chapter 43,shmoop
