,ROUGE-1 F1,summary path
72,0.5749933634191665,finished_summaries/sparknotes/Hamlet/overview.txt
73,0.5783699059561128,finished_summaries/gradesaver/Othello/overview.json
74,0.6011369888134971,finished_summaries/shmoop/Othello/overview.txt
75,0.5783829787234042,finished_summaries/sparknotes/Othello/overview.txt
76,0.5640750670241286,finished_summaries/shmoop/A Room with a View/overview.txt
77,0.5640750670241286,finished_summaries/sparknotes/A Room with a View/overview.txt
78,0.21060318387615012,finished_summaries/gradesaver/Coriolanus/overview.json
79,0.2877860865624292,finished_summaries/shmoop/Coriolanus/overview.txt
80,0.2632558139534884,finished_summaries/sparknotes/Coriolanus/overview.txt
81,0.3420229405630865,finished_summaries/shmoop/Around the World in Eighty Days/overview.txt
82,0.4997910572503134,finished_summaries/gradesaver/Candide/overview.json
83,0.48575013443269405,finished_summaries/shmoop/Candide/overview.txt
84,0.5461619033368249,finished_summaries/cliffnotes/Candide/overview.txt
85,0.5591673338670936,finished_summaries/sparknotes/Candide/overview.txt
86,0.3420229405630865,finished_summaries/gradesaver/Around the World in 80 Days/overview.json
87,0.49201484110340377,finished_summaries/gradesaver/Sister Carrie/overview.json
88,0.4758078017746526,finished_summaries/shmoop/Sister Carrie/overview.txt
89,0.49158132268703353,finished_summaries/cliffnotes/Sister Carrie/overview.txt
90,0.1542645241038319,finished_summaries/sparknotes/Sister Carrie/overview.txt
91,0.569496619083396,finished_summaries/gradesaver/Persuasion/overview.json
92,0.5402945113788488,finished_summaries/shmoop/Persuasion/overview.txt
93,0.5758513931888545,finished_summaries/sparknotes/Persuasion/overview.txt
94,0.493681550126369,finished_summaries/gradesaver/Wuthering Heights/overview.json
95,0.5467505241090147,finished_summaries/shmoop/Wuthering Heights/overview.txt
96,0.3587318269399194,finished_summaries/cliffnotes/Wuthering Heights/overview.txt
97,0.5396744007178567,finished_summaries/sparknotes/Wuthering Heights/overview.txt
98,0.39870689655172414,finished_summaries/gradesaver/What Maisie Knew/overview.json
99,0.39870689655172414,finished_summaries/shmoop/What Maisie Knew/overview.txt
100,0.5347415230683713,finished_summaries/gradesaver/Oliver Twist/overview.json
101,0.5416004239533652,finished_summaries/shmoop/Oliver Twist/overview.txt
102,0.4706585038076751,finished_summaries/cliffnotes/Oliver Twist/overview.txt
103,0.5025288286465709,finished_summaries/sparknotes/Oliver Twist/overview.txt
104,0.4900560938296787,finished_summaries/gradesaver/David Copperfield/overview.json
105,0.35176309483053747,finished_summaries/shmoop/David Copperfield/overview.txt
106,0.35714285714285715,finished_summaries/cliffnotes/David Copperfield/overview.txt
107,0.450828729281768,finished_summaries/sparknotes/David Copperfield/overview.txt
108,0.4710759374411156,finished_summaries/gradesaver/Heart of Darkness/overview.json
109,0.47310312426591494,finished_summaries/shmoop/Heart of Darkness/overview.txt
110,0.4611906556141673,finished_summaries/cliffnotes/Heart of Darkness/overview.txt
111,0.5106658047834518,finished_summaries/sparknotes/Heart of Darkness/overview.txt
112,0.5675207756232687,finished_summaries/gradesaver/Dracula/overview.json
113,0.4907630522088353,finished_summaries/shmoop/Dracula/overview.txt
114,0.5514851485148514,finished_summaries/cliffnotes/Dracula/overview.txt
115,0.5646359583952453,finished_summaries/sparknotes/Dracula/overview.txt
116,0.20327868852459016,finished_summaries/gradesaver/Leviathan/overview.json
117,0.20327868852459016,finished_summaries/shmoop/Leviathan/overview.txt
118,0.4731585518102372,finished_summaries/shmoop/Main Street/overview.txt
119,0.509929906542056,finished_summaries/cliffnotes/Main Street/overview.txt
120,0.5203296703296704,finished_summaries/sparknotes/Main Street/overview.txt
121,0.31693531505128747,finished_summaries/gradesaver/Middlemarch/overview.json
122,0.3448873483535529,finished_summaries/shmoop/Middlemarch/overview.txt
123,0.33141289437585736,finished_summaries/sparknotes/Middlemarch/overview.txt
124,0.46428571428571436,finished_summaries/shmoop/The Power and the Glory/overview.txt
125,0.46428571428571436,finished_summaries/sparknotes/The Power and the Glory/overview.txt
126,0.30867442733758915,finished_summaries/shmoop/The Return of the Native/overview.txt
127,0.3277486910994764,finished_summaries/cliffnotes/The Return of the Native/overview.txt
128,0.4047535826634044,finished_summaries/sparknotes/The Return of the Native/overview.txt
129,0.5486079415791877,finished_summaries/gradesaver/The Scarlet Letter/overview.json
130,0.459887583035258,finished_summaries/shmoop/The Scarlet Letter/overview.txt
131,0.5516952699874424,finished_summaries/cliffnotes/The Scarlet Letter/overview.txt
132,0.5716730851519041,finished_summaries/sparknotes/The Scarlet Letter/overview.txt
133,0.5714713814803716,finished_summaries/gradesaver/My Antonia/overview.json
134,0.4875124875124875,finished_summaries/gradesaver/Babbitt/overview.json
135,0.4757233938205003,finished_summaries/shmoop/Babbitt/overview.txt
136,0.47712127943136384,finished_summaries/sparknotes/Babbitt/overview.txt
137,0.4045936395759717,finished_summaries/shmoop/Madame Bovary/overview.txt
138,0.4045936395759717,finished_summaries/cliffnotes/Madame Bovary/overview.txt
139,0.501609010458568,finished_summaries/gradesaver/A Tale of Two Cities/overview.json
140,0.4565422026984625,finished_summaries/shmoop/A Tale of Two Cities/overview.txt
141,0.43806258036862405,finished_summaries/cliffnotes/A Tale of Two Cities/overview.txt
142,0.5160167130919221,finished_summaries/sparknotes/A Tale of Two Cities/overview.txt
143,0.45588568836470855,finished_summaries/gradesaver/Howards End/overview.json
144,0.43668877992500726,finished_summaries/shmoop/Howards End/overview.txt
145,0.5217864923747276,finished_summaries/sparknotes/Howards End/overview.txt
146,0.513066082911479,finished_summaries/gradesaver/The Turn of the Screw/overview.json
147,0.5229505268798,finished_summaries/shmoop/The Turn of the Screw/overview.txt
148,0.47407407407407404,finished_summaries/cliffnotes/The Turn of the Screw/overview.txt
149,0.5659278433910372,finished_summaries/sparknotes/The Turn of the Screw/overview.txt
150,0.47533009034051427,finished_summaries/gradesaver/The Secret Agent/overview.json
151,0.47533009034051427,finished_summaries/shmoop/The Secret Agent/overview.txt
152,0.5908141962421712,finished_summaries/gradesaver/Jane Eyre/overview.json
153,0.5752858185356361,finished_summaries/shmoop/Jane Eyre/overview.txt
154,0.5833531510107014,finished_summaries/cliffnotes/Jane Eyre/overview.txt
155,0.5561959654178674,finished_summaries/sparknotes/Jane Eyre/overview.txt
156,0.2445167680769775,finished_summaries/shmoop/Ivanhoe/overview.txt
157,0.22926717206524236,finished_summaries/cliffnotes/Ivanhoe/overview.txt
158,0.3482816429170159,finished_summaries/sparknotes/Ivanhoe/overview.txt
159,0.5346762589928058,finished_summaries/gradesaver/Mansfield Park/overview.json
160,0.4616472251679039,finished_summaries/shmoop/Mansfield Park/overview.txt
